1	3	1100100                       1101100                       
2	3	10100                         10110                         
1	4	11000                         11100                         
3	4	1100100                       1101100                       
1	5	11100011000                   11100111000                   
2	5	11100011000                   11100111000                   
3	5	10100100                      10110100                      
4	5	110001000                     110011000                     
1	6	1011101000101000              1011001001101000              
2	6	10110100100                   10110110100                   
4	6	1100100                       1101100                       
5	6	11100011000                   11100111000                   
1	7	10011001000                   10011001100                   
2	7	10111010001001000             10111010001101000             
3	7	10100                         10110                         
4	7	10011001000                   10011001100                   
5	7	11100011000                   11100111000                   
6	7	1010001001000                 1011001001000                 
1	8	10110100100                   10110110100                   
2	8	10100                         10110                         
3	8	1100100                       1101100                       
5	8	110001000                     110011000                     
6	8	10110100100                   10110110100                   
7	8	10100                         10110                         
1	9	11000                         11100                         
2	9	10110010100110100100          10110110100110100100          
3	9	1000110011000                 1101110011001                 
4	9	1010001001000                 1010011001000                 
5	9	10110100100                   10110110100                   
6	9	11000                         11100                         
7	9	1101001100100                 1100101100100                 
8	9	10110100100                   10110110100                   
1	10	1100100                       1101100                       
2	10	10101101010010100             10101101011010100             
3	10	10100100                      10110100                      
4	10	1100100                       1101100                       
6	10	11100011000                   11100111000                   
7	10	11100011000                   11100111000                   
8	10	1100100                       1101100                       
9	10	10101101010010100             10101101011010100             
1	11	1100100110001001000           1100100111001001000           
2	11	10100100                      10110100                      
3	11	1100100                       1101100                       
4	11	11000                         11100                         
5	11	10100100                      10110100                      
6	11	1100100                       1101100                       
7	11	110100011010001000            110100011001001000            
8	11	1100100110001001000           1100100111001001000           
9	11	11000                         11100                         
10	11	1100100                       1101100                       
1	12	10101101010010100             10101101011010100             
2	12	1101110010001000              1101110110001000              
3	12	10100                         10110                         
4	12	11100011000                   11100111000                   
5	12	11100011000                   11100111000                   
7	12	10011001000                   10011001100                   
8	12	10100                         10110                         
9	12	1000110011000                 1101110011001                 
10	12	11100011000                   11100111000                   
11	12	10110010100110100100          10110110100110100100          
1	13	110001000                     110011000                     
2	13	10100                         10110                         
3	13	10100100                      10110100                      
4	13	1100100                       1101100                       
5	13	11100011000                   11100111000                   
6	13	10100100                      10110100                      
7	13	10100                         10110                         
8	13	111010001110010001000         111010001110110001000         
9	13	1100101100100110100           1001101100101100110           
10	13	110001000                     110011000                     
11	13	1100100                       1101100                       
12	13	10100                         10110                         
1	14	11000                         11100                         
2	14	10110100100                   10110110100                   
3	14	10101101010010100             10101101011010100             
4	14	110001000                     110011000                     
5	14	10100100                      10110100                      
6	14	11000                         11100                         
8	14	110001000                     110011000                     
9	14	10110010100110100100          10110110100110100100          
10	14	10110100100                   10110110100                   
11	14	11000                         11100                         
12	14	10110010100110100100          10110110100110100100          
13	14	10100100                      10110100                      
1	15	11100011000                   11100111000                   
2	15	10101101010010100             10101101011010100             
